# RR Put
# x axis: Throughput (Kops/s)
# y axis: Latency (ms)

    10.0     5.69     4.89     6.43
    20.0     8.65     8.03     9.30
    30.0    12.12    11.21    12.89
    40.0    15.54    14.29    16.57
    50.0    19.00    17.49    20.36
    60.0    22.43    20.68    23.94
    70.0    25.89    23.78    27.64
    80.0    29.32    26.46    31.75
    90.0    32.60    29.97    34.81
   100.0    37.08    33.94    39.56
   110.0    40.35    36.80    64.07
   115.5   177.65    72.90   477.11
   114.7   491.21   142.39   969.24
   104.6   931.25   146.88  2644.63
    97.8  1094.01   176.35  3044.01
    93.9  2020.93   187.30  3447.30

# end
