# Crash Transfer
# x axis: Throughput (Kops/s)
# y axis: Latency (ms)

     5.0     8.45     7.29    10.34
    10.0    10.21     7.88    12.89
    15.0    12.39     9.27    14.91
    20.0    15.49     9.78    18.89
    25.0    17.67    10.52    21.59
    30.0    19.77    11.78    25.43
    35.0    21.76    12.36    29.29
    40.0    23.62    12.78    32.49
    45.0    25.73    13.88    36.40
    50.0    25.16    10.23    38.43
    55.0    27.63    11.33    42.66
    60.0    28.93    11.58    45.96
    65.0    37.32    13.16    74.03
    70.0   213.31    20.46   245.05
    70.5   113.77    40.82   271.33
    68.8   234.44    59.09   412.30
    70.1   295.80    59.94   536.84

# end
